Name,Geometry_Type,Latitude,Longitude,extrude,source_layer,tessellate,visibility
66,Point,20.47707852519957,-103.5099575,0,Pozos profundos y norias de riego,-1,-1
67,Point,20.47656573238243,-103.5059249,0,Pozos profundos y norias de riego,-1,-1
68,Point,20.47752095713049,-103.5045925,0,Pozos profundos y norias de riego,-1,-1
69,Point,20.47236720899119,-103.4908583,0,Pozos profundos y norias de riego,-1,-1
70,Point,20.47247420523887,-103.4882386,0,Pozos profundos y norias de riego,-1,-1
72,Point,20.47410203119617,-103.490714,0,Pozos profundos y norias de riego,-1,-1
73,Point,20.47469754186764,-103.4900815,0,Pozos profundos y norias de riego,-1,-1
74,Point,20.47451523601157,-103.4906835,0,Pozos profundos y norias de riego,-1,-1
75,Point,20.47988472962917,-103.529621,0,Pozos profundos y norias de riego,-1,-1
76,Point,20.48291889983914,-103.4891533,0,Pozos profundos y norias de riego,-1,-1
77,Point,20.47001227677237,-103.4986645,0,Pozos profundos y norias de riego,-1,-1
78,Point,20.46730437513376,-103.4992982,0,Pozos profundos y norias de riego,-1,-1
79,Point,20.46142966842814,-103.5026501,0,Pozos profundos y norias de riego,-1,-1
80,Point,20.46009836468519,-103.4948212,0,Pozos profundos y norias de riego,-1,-1
81,Point,20.46786318340459,-103.4956662,0,Pozos profundos y norias de riego,-1,-1
82,Point,20.46447196254978,-103.4954929,0,Pozos profundos y norias de riego,-1,-1
83,Point,20.46328493787452,-103.4932683,0,Pozos profundos y norias de riego,-1,-1
84,Point,20.46618269,-103.5327331,0,Pozos profundos y norias de riego,-1,-1
85,Point,20.46779028936927,-103.5372749,0,Pozos profundos y norias de riego,-1,-1
86,Point,20.50226273359738,-103.5556876,0,Pozos profundos y norias de riego,-1,-1
90,Point,20.48165765305293,-103.5547131,0,Pozos profundos y norias de riego,-1,-1
91,Point,20.46583069867152,-103.5562291,0,Pozos profundos y norias de riego,-1,-1
92,Point,20.46931984406914,-103.5480931,0,Pozos profundos y norias de riego,-1,-1
93,Point,20.47918125136695,-103.563636,0,Pozos profundos y norias de riego,-1,-1
94,Point,20.48332129,-103.5035503,0,Pozos profundos y norias de riego,-1,-1
95,Point,20.47905048,-103.4963364,0,Pozos profundos y norias de riego,-1,-1
96,Point,20.47722402226458,-103.5065002,0,Pozos profundos y norias de riego,-1,-1
97,Point,20.47720519093683,-103.5075482,0,Pozos profundos y norias de riego,-1,-1
98,Point,20.47828615375701,-103.5083206,0,Pozos profundos y norias de riego,-1,-1
99,Point,20.48054403577865,-103.5198379,0,Pozos profundos y norias de riego,-1,-1
100,Point,20.43973415382357,-103.5401124,0,Pozos profundos y norias de riego,-1,-1
101,Point,20.44853063868554,-103.500517,0,Pozos profundos y norias de riego,-1,-1
102,Point,20.44622377699562,-103.4834734,0,Pozos profundos y norias de riego,-1,-1
103,Point,20.47816974501009,-103.5003773,0,Pozos profundos y norias de riego,-1,-1
104,Point,20.47784682475148,-103.497863,0,Pozos profundos y norias de riego,-1,-1
105,Point,20.48156375173454,-103.4939481,0,Pozos profundos y norias de riego,-1,-1
106,Point,20.48406836033965,-103.5004841,0,Pozos profundos y norias de riego,-1,-1
107,Point,20.48406157265554,-103.499681,0,Pozos profundos y norias de riego,-1,-1
108,Point,20.47495204642117,-103.4868038,0,Pozos profundos y norias de riego,-1,-1
109,Point,20.47638101934771,-103.499109,0,Pozos profundos y norias de riego,-1,-1
110,Point,20.47997256775566,-103.4968831,0,Pozos profundos y norias de riego,-1,-1
110,Point,20.47861065,-103.4973071,0,Pozos profundos y norias de riego,-1,-1
111,Point,20.47425554050579,-103.5050081,0,Pozos profundos y norias de riego,-1,-1
112,Point,20.48019151258631,-103.5073723,0,Pozos profundos y norias de riego,-1,-1
112,Point,20.45992949147953,-103.5162568,0,Pozos profundos y norias de riego,-1,-1
113,Point,20.4920496,-103.5558384,0,Pozos profundos y norias de riego,-1,-1
114,Point,20.49077450487626,-103.503509,0,Pozos profundos y norias de riego,-1,-1
115,Point,20.48407222544178,-103.4876826,0,Pozos profundos y norias de riego,-1,-1
116,Point,20.48489246126888,-103.4893877,0,Pozos profundos y norias de riego,-1,-1
117,Point,20.48179309755131,-103.4911647,0,Pozos profundos y norias de riego,-1,-1
118-A,Point,20.48738070980345,-103.4804883,0,Pozos profundos y norias de riego,-1,-1
118-B,Point,20.48693583260344,-103.4800615,0,Pozos profundos y norias de riego,-1,-1
119,Point,20.48035935333229,-103.495243,0,Pozos profundos y norias de riego,-1,-1
121,Point,20.48794379324361,-103.4863906,0,Pozos profundos y norias de riego,-1,-1
122,Point,20.48525556830777,-103.480197,0,Pozos profundos y norias de riego,-1,-1
123,Point,20.47451756999784,-103.4866912,0,Pozos profundos y norias de riego,-1,-1
124,Point,20.47373018853446,-103.4874067,0,Pozos profundos y norias de riego,-1,-1
125,Point,20.47506169663802,-103.4876652,0,Pozos profundos y norias de riego,-1,-1
126,Point,20.47730501444006,-103.4887173,0,Pozos profundos y norias de riego,-1,-1
127,Point,20.47727732888129,-103.4893947,0,Pozos profundos y norias de riego,-1,-1
128,Point,20.47669637,-103.4900046,0,Pozos profundos y norias de riego,-1,-1
129,Point,20.47617945347887,-103.491322,0,Pozos profundos y norias de riego,-1,-1
130,Point,20.47583001628835,-103.4914514,0,Pozos profundos y norias de riego,-1,-1
131,Point,20.47440906009864,-103.4918104,0,Pozos profundos y norias de riego,-1,-1
133,Point,20.47588396777371,-103.4887993,0,Pozos profundos y norias de riego,-1,-1
134,Point,20.47411282202742,-103.4884312,0,Pozos profundos y norias de riego,-1,-1
135,Point,20.48179690349178,-103.4995808,0,Pozos profundos y norias de riego,-1,-1
136,Point,20.48090207231098,-103.4995593,0,Pozos profundos y norias de riego,-1,-1
137,Point,20.48094492285697,-103.5003284,0,Pozos profundos y norias de riego,-1,-1
138,Point,20.48160163183213,-103.5011547,0,Pozos profundos y norias de riego,-1,-1
139,Point,20.48119285532455,-103.5025204,0,Pozos profundos y norias de riego,-1,-1
140,Point,20.47988134586893,-103.5063545,0,Pozos profundos y norias de riego,-1,-1
141,Point,20.48018017032705,-103.4984405,0,Pozos profundos y norias de riego,-1,-1
143,Point,20.47923448261539,-103.5081006,0,Pozos profundos y norias de riego,-1,-1
87,Point,20.45486506249356,-103.5201167,0,Pozos para uso dom��s,-1,-1
89,Point,20.47308191725141,-103.5573263,0,Pozos para uso dom��s,-1,-1
88,Point,20.48833026495553,-103.5473615,0,Pozos para uso dom��s,-1,-1
12,Point,20.48379624354146,-103.5015839,0,Pozos para uso dom��s,-1,-1
I,Point,20.48233975494437,-103.5424952,0,Pozos Domo sur la Primavera,-1,-1
II,Point,20.48122331386618,-103.5394115,0,Pozos Domo sur la Primavera,-1,-1
III,Point,20.48008616395883,-103.5364473,0,Pozos Domo sur la Primavera,-1,-1
IV,Point,20.47992057947133,-103.5312451,0,Pozos Domo sur la Primavera,-1,-1
V,Point,20.47971213520301,-103.5269092,0,Pozos Domo sur la Primavera,-1,-1
VI,Point,20.48179832238347,-103.5175608,0,Pozos Domo sur la Primavera,-1,-1
VII,Point,20.48320331647414,-103.5120774,0,Pozos Domo sur la Primavera,-1,-1
VIII,Point,20.48563050238927,-103.5031022,0,Pozos Domo sur la Primavera,-1,-1
IX,Point,20.48653184910071,-103.4972856,0,Pozos Domo sur la Primavera,-1,-1
